id,fecha_entrega,fecha_ultima,fecha_penultima,fecha_antepenultima,kms_ultima,kms_penultima,kms_antepenultima,dias_para_5000
1,0000-00-00,2023-06-05,2023-04-29,0000-00-00,4,3,0,0
2,0000-00-00,2023-06-05,2023-04-17,0000-00-00,5,4,0,1
3,0000-00-00,2022-10-13,2022-09-06,0000-00-00,101,100,0,1
4,0000-00-00,2022-10-13,2022-09-06,0000-00-00,101,100,0,1
5,0000-00-00,2022-10-05,2022-09-26,0000-00-00,101,100,0,0
6,0000-00-00,2023-09-08,2022-10-06,2022-09-26,30,101,100,0
7,0000-00-00,2023-09-08,0000-00-00,0000-00-00,30,0,0,0
8,0000-00-00,2020-09-28,2020-09-25,2020-09-18,14,13,12,1
9,0000-00-00,2023-09-08,0000-00-00,0000-00-00,30,0,0,1
10,0000-00-00,2018-12-12,0000-00-00,0000-00-00,6,0,0,1
11,0000-00-00,2019-03-30,2019-03-29,0000-00-00,187,186,0,1
12,0000-00-00,2023-09-16,0000-00-00,0000-00-00,30,0,0,1
13,0000-00-00,2015-12-15,2015-10-15,0000-00-00,230,6,0,0
14,0000-00-00,2023-10-30,0000-00-00,0000-00-00,30,0,0,1
15,0000-00-00,2017-05-12,0000-00-00,0000-00-00,5,0,0,1
16,0000-00-00,2015-06-09,0000-00-00,0000-00-00,829,0,0,0
17,0000-00-00,2015-05-22,2015-05-21,2015-05-16,7,6,6,0
18,0000-00-00,2017-11-09,0000-00-00,0000-00-00,6,0,0,1
19,0000-00-00,2017-06-23,2017-06-20,0000-00-00,5,5,0,0
20,0000-00-00,2019-12-23,0000-00-00,0000-00-00,1,0,0,0
21,0000-00-00,2020-01-25,0000-00-00,0000-00-00,8,0,0,0
22,0000-00-00,2020-01-17,0000-00-00,0000-00-00,6,0,0,0
23,0000-00-00,2020-01-16,0000-00-00,0000-00-00,1,0,0,0
24,0000-00-00,2020-02-21,2020-02-13,2020-02-11,12,11,10,0
25,0000-00-00,2020-06-05,2020-05-28,0000-00-00,2,1,0,0
26,0000-00-00,2020-02-14,2020-02-12,2020-02-10,6,4,3,0
27,0000-00-00,2020-08-28,0000-00-00,0000-00-00,1,0,0,1
28,0000-00-00,2020-06-06,2020-05-28,0000-00-00,2,1,0,0
29,0000-00-00,2020-08-27,2020-08-22,0000-00-00,2,1,0,1
30,0000-00-00,2020-12-22,2020-02-08,0000-00-00,72,10,0,0
31,0000-00-00,2020-02-12,2020-02-10,2020-02-08,4,3,2,1
32,0000-00-00,2020-02-22,0000-00-00,0000-00-00,8,0,0,1
33,0000-00-00,2020-02-27,2020-02-22,0000-00-00,9,8,0,1
34,0000-00-00,2020-03-03,0000-00-00,0000-00-00,10,0,0,0
35,0000-00-00,2020-07-16,2020-07-08,0000-00-00,1000,863,0,1
36,0000-00-00,2020-03-10,0000-00-00,0000-00-00,1,0,0,0
37,0000-00-00,2020-08-20,2020-08-12,2020-03-17,3,2,1,1
38,0000-00-00,2020-09-23,0000-00-00,0000-00-00,2,0,0,0
39,0000-00-00,2020-07-08,2020-03-09,0000-00-00,200,171,0,1
40,0000-00-00,2020-05-16,2020-03-19,0000-00-00,7,6,0,0
41,0000-00-00,2020-06-19,2020-03-19,2020-03-18,7,6,5,0
42,0000-00-00,2020-10-29,2020-03-16,0000-00-00,52,4,0,0
43,0000-00-00,2020-03-16,0000-00-00,0000-00-00,4,0,0,1
44,0000-00-00,2020-03-09,0000-00-00,0000-00-00,172,0,0,1
45,0000-00-00,2020-03-16,0000-00-00,0000-00-00,4,0,0,1
46,0000-00-00,2020-12-23,2020-12-15,2020-11-20,3,2,1,0
47,0000-00-00,2020-09-18,2020-09-12,2020-03-09,173,172,170,0
48,0000-00-00,2020-10-19,0000-00-00,0000-00-00,1,0,0,1
49,0000-00-00,2020-12-28,2020-12-18,0000-00-00,2,1,0,0
50,0000-00-00,2020-10-29,2020-10-20,2020-10-07,15,14,13,0
51,0000-00-00,2020-03-16,0000-00-00,0000-00-00,4,0,0,1
52,0000-00-00,2020-03-05,0000-00-00,0000-00-00,1,0,0,0
53,0000-00-00,2020-08-26,2020-08-24,2020-07-17,15,13,12,1
54,0000-00-00,2020-09-28,2020-09-18,0000-00-00,2,1,0,0
55,0000-00-00,2020-09-07,0000-00-00,0000-00-00,1,0,0,1
56,0000-00-00,2020-06-04,0000-00-00,0000-00-00,1,0,0,1
57,0000-00-00,2020-05-28,0000-00-00,0000-00-00,1,0,0,0
58,0000-00-00,2020-10-28,0000-00-00,0000-00-00,5,0,0,0
59,0000-00-00,2021-07-01,0000-00-00,0000-00-00,55,0,0,0
60,0000-00-00,2020-05-16,2020-05-14,0000-00-00,2,1,0,1
61,0000-00-00,2020-05-28,0000-00-00,0000-00-00,1,0,0,1
62,0000-00-00,2020-07-08,2020-05-28,0000-00-00,2,1,0,1
63,0000-00-00,2020-08-11,2020-08-03,2020-05-18,17,16,15,1
64,0000-00-00,2020-05-23,0000-00-00,0000-00-00,1,0,0,0
65,0000-00-00,2020-07-08,2020-06-05,0000-00-00,2,1,0,0
66,0000-00-00,2020-06-05,0000-00-00,0000-00-00,1,0,0,0
67,0000-00-00,2020-06-20,0000-00-00,0000-00-00,1,0,0,1
68,0000-00-00,2020-06-30,2020-05-16,0000-00-00,11,10,0,1
69,0000-00-00,2020-06-19,0000-00-00,0000-00-00,1,0,0,1
70,0000-00-00,2020-07-08,2020-07-07,2020-05-18,16,15,14,0
71,0000-00-00,2020-05-14,0000-00-00,0000-00-00,14,0,0,1
72,0000-00-00,2020-07-04,2020-06-25,0000-00-00,12,1,0,1
73,0000-00-00,2020-06-05,2020-05-28,0000-00-00,2,1,0,0
74,0000-00-00,2020-05-23,0000-00-00,0000-00-00,1,0,0,0
