id,fecha_entrega,fecha_ultima,fecha_penultima,fecha_antepenultima,kms_ultima,kms_penultima,kms_antepenultima,dias_para_5000
1,0000-00-00,2015-07-21,0000-00-00,0000-00-00,164228,0,0,1
2,0000-00-00,2015-03-19,0000-00-00,0000-00-00,184,0,0,1
3,0000-00-00,2020-11-05,0000-00-00,0000-00-00,12,0,0,1
4,0000-00-00,2020-11-05,0000-00-00,0000-00-00,11,0,0,0
5,0000-00-00,2020-11-05,0000-00-00,0000-00-00,7,0,0,0
6,0000-00-00,2020-11-05,0000-00-00,0000-00-00,95,0,0,0
7,0000-00-00,2020-11-05,0000-00-00,0000-00-00,13,0,0,0
8,0000-00-00,2020-11-05,0000-00-00,0000-00-00,12,0,0,0
9,0000-00-00,2020-11-05,0000-00-00,0000-00-00,8,0,0,0
10,0000-00-00,2019-05-13,2019-05-06,0000-00-00,29,28,0,0
11,0000-00-00,2019-05-31,2019-05-08,0000-00-00,20,1,0,0
12,0000-00-00,2019-05-15,0000-00-00,0000-00-00,6,0,0,1
13,0000-00-00,2019-06-28,2019-05-11,2019-05-06,42,39,37,0
14,0000-00-00,2019-05-06,0000-00-00,0000-00-00,15,0,0,0
15,0000-00-00,2019-06-28,2019-05-11,2019-05-06,12,11,10,0
16,0000-00-00,2019-05-31,0000-00-00,0000-00-00,8,0,0,0
17,0000-00-00,2019-05-29,0000-00-00,0000-00-00,9,0,0,0
18,0000-00-00,2019-06-05,0000-00-00,0000-00-00,6,0,0,1
19,0000-00-00,2019-06-20,0000-00-00,0000-00-00,9,0,0,0
20,0000-00-00,2019-05-08,0000-00-00,0000-00-00,1,0,0,1
21,0000-00-00,2019-05-25,0000-00-00,0000-00-00,10,0,0,1
22,0000-00-00,2019-05-31,0000-00-00,0000-00-00,12,0,0,1
23,0000-00-00,2019-05-11,2019-05-06,0000-00-00,15,14,0,0
24,0000-00-00,2019-05-16,0000-00-00,0000-00-00,27,0,0,1
25,0000-00-00,2019-05-31,0000-00-00,0000-00-00,11,0,0,0
26,0000-00-00,2019-05-06,0000-00-00,0000-00-00,11,0,0,0
27,0000-00-00,2019-05-06,0000-00-00,0000-00-00,11,0,0,0
28,0000-00-00,2019-05-31,0000-00-00,0000-00-00,11,0,0,0
29,0000-00-00,2019-09-05,0000-00-00,0000-00-00,13,0,0,1
30,0000-00-00,2021-06-01,0000-00-00,0000-00-00,12,0,0,0
31,0000-00-00,2021-06-01,0000-00-00,0000-00-00,11,0,0,0
32,0000-00-00,2021-06-01,0000-00-00,0000-00-00,6,0,0,0
33,0000-00-00,2022-11-22,0000-00-00,0000-00-00,9,0,0,0
34,0000-00-00,2023-06-22,0000-00-00,0000-00-00,37,0,0,0
35,0000-00-00,2019-07-24,0000-00-00,0000-00-00,71863,0,0,0
36,0000-00-00,2015-03-05,0000-00-00,0000-00-00,185676,0,0,1
37,0000-00-00,2015-12-30,0000-00-00,0000-00-00,25000,0,0,1
38,0000-00-00,2016-08-05,0000-00-00,0000-00-00,150066,0,0,0
39,0000-00-00,2021-01-06,2019-12-23,2019-08-01,200505,181465,173619,1
40,0000-00-00,2015-12-29,0000-00-00,0000-00-00,2658,0,0,0
41,0000-00-00,2021-03-10,0000-00-00,0000-00-00,192585,0,0,1
42,0000-00-00,2016-05-31,0000-00-00,0000-00-00,78863,0,0,0
43,0000-00-00,2021-10-09,2019-04-17,2017-06-13,132931,111469,93227,1
44,0000-00-00,2016-05-18,0000-00-00,0000-00-00,219446,0,0,0
45,0000-00-00,2020-07-28,0000-00-00,0000-00-00,55000,0,0,1
46,0000-00-00,2015-06-09,0000-00-00,0000-00-00,99900,0,0,0
47,0000-00-00,2016-04-12,2015-09-14,0000-00-00,102496,89834,0,1
48,0000-00-00,2021-09-28,2016-11-16,0000-00-00,74424,55083,0,0
49,0000-00-00,2022-10-14,2021-08-27,2020-02-19,119129,112249,107991,0
50,0000-00-00,2015-12-30,0000-00-00,0000-00-00,61400,0,0,0
51,0000-00-00,2017-01-04,2015-10-10,0000-00-00,150408,137736,0,1
52,0000-00-00,2016-09-19,0000-00-00,0000-00-00,73000,0,0,1
53,0000-00-00,2015-07-30,0000-00-00,0000-00-00,32280,0,0,1
54,0000-00-00,2016-06-14,2016-05-31,0000-00-00,30029,290291,0,0
55,0000-00-00,2018-06-22,2017-11-25,2015-07-07,65969,44520,37654,0
56,2017-05-24,2023-09-16,2023-05-06,2022-12-03,136464,131802,126167,1
57,0000-00-00,2017-08-17,0000-00-00,0000-00-00,16341,0,0,0
58,0000-00-00,2015-06-09,0000-00-00,0000-00-00,50163,0,0,0
59,0000-00-00,2016-02-26,0000-00-00,0000-00-00,26000,0,0,0
60,0000-00-00,2015-10-07,2015-03-30,0000-00-00,4980,2,0,0
61,0000-00-00,2020-01-24,2019-09-20,2017-01-27,81785,75887,28449,0
62,0000-00-00,2017-04-21,2016-08-20,2015-11-13,14339,9651,4900,0
63,0000-00-00,2015-07-30,2015-06-27,0000-00-00,10200,5515,0,1
64,0000-00-00,2017-03-18,2016-02-10,0000-00-00,26291,10392,0,0
65,0000-00-00,2017-02-16,2016-07-02,2015-12-19,8490,5262,2651,0
66,0000-00-00,2017-11-24,2016-07-29,2016-02-05,40893,16826,10356,0
67,0000-00-00,2015-10-31,2015-09-19,0000-00-00,9878,4995,0,0
68,0000-00-00,2017-07-13,2017-01-19,2016-08-19,28454,19365,15057,0
69,0000-00-00,2016-08-01,2016-07-23,2016-05-16,11704,10833,5113,0
70,0000-00-00,2023-09-22,0000-00-00,0000-00-00,70657,0,0,0
71,0000-00-00,2020-06-18,2017-03-17,0000-00-00,89613,15808,0,1
72,0000-00-00,2017-06-16,2017-01-27,2016-07-13,19491,15071,10094,1
73,0000-00-00,2016-06-03,2016-01-27,0000-00-00,15455,5236,0,0
74,0000-00-00,2023-07-21,2022-10-21,2022-02-19,53398,48213,42396,1
75,0000-00-00,2017-01-10,2016-11-18,2016-09-21,47847,43796,37177,0
76,0000-00-00,2021-06-19,2021-04-29,2021-01-23,93293,92542,90009,0
77,0000-00-00,2017-09-15,2017-06-16,2017-02-17,25626,22904,18658,0
78,0000-00-00,2023-04-21,2021-08-24,2020-12-23,119435,89524,78820,1
79,0000-00-00,2019-04-12,2018-12-20,2016-05-20,51722,47044,4053,1
80,0000-00-00,2017-09-15,2016-05-21,0000-00-00,19647,4448,0,1
81,2015-11-28,2016-11-12,2016-01-15,2015-12-10,15588,5011,1398,0
82,0000-00-00,2023-02-25,2023-02-24,2018-03-23,54125,54097,23642,1
83,0000-00-00,2017-07-01,2016-03-01,0000-00-00,14744,4878,0,1
84,0000-00-00,2018-04-19,0000-00-00,0000-00-00,18756,0,0,0
85,0000-00-00,2017-09-15,2017-03-24,2016-12-27,20489,13471,9851,1
86,0000-00-00,2020-09-18,2018-03-22,2017-06-15,33072,18674,13632,1
87,0000-00-00,2017-03-17,2016-08-10,2016-05-16,25815,15225,9789,1
88,0000-00-00,2017-09-15,2016-12-28,2016-08-24,27418,15133,10238,0
89,0000-00-00,2018-05-17,2017-09-15,2017-03-14,56101,42452,31026,1
90,0000-00-00,2016-12-27,2016-08-11,0000-00-00,9472,4120,0,0
91,0000-00-00,2021-04-30,2020-09-19,2018-08-16,99822,66200,62947,0
92,0000-00-00,2022-08-20,2021-09-17,2021-02-19,46734,41737,37363,1
93,0000-00-00,2016-10-06,2016-08-11,2016-06-25,15803,10565,5146,0
94,0000-00-00,2016-11-17,2016-05-17,0000-00-00,14996,4822,0,1
95,0000-00-00,2016-12-27,0000-00-00,0000-00-00,6878,0,0,0
96,0000-00-00,2016-08-20,0000-00-00,0000-00-00,9993,0,0,1
97,0000-00-00,2017-07-10,2017-02-14,2017-01-27,25874,17222,15117,0
98,2016-06-17,2016-12-27,2016-04-05,0000-00-00,4900,4,0,1
99,2016-06-30,2017-01-26,2016-10-07,0000-00-00,9883,4806,0,1
100,0000-00-00,2016-10-19,2016-03-30,0000-00-00,5890,4,0,1
101,0000-00-00,2020-09-18,2019-02-05,2019-01-03,123555,83494,79890,0
102,0000-00-00,2019-07-18,2018-11-22,2017-08-17,25793,21097,12884,1
103,2016-06-21,2016-10-29,2016-06-15,2016-06-11,5443,22,2,1
104,2016-07-15,2017-06-16,2016-12-27,0000-00-00,6249,3680,0,1
105,0000-00-00,2017-03-28,2016-12-17,2016-09-30,15433,10130,4605,0
106,2016-08-20,2019-01-17,2018-08-16,2018-01-26,24110,20151,16569,0
107,2016-08-31,2017-02-16,0000-00-00,0000-00-00,3103,0,0,0
108,0000-00-00,2020-11-20,2017-02-16,0000-00-00,59582,5559,0,1
109,2016-09-06,2017-05-23,0000-00-00,0000-00-00,15350,0,0,1
110,2016-09-23,2018-07-26,2017-06-30,2017-02-16,19607,7476,4169,0
111,0000-00-00,2017-07-17,2017-06-16,2017-01-26,8821,8056,4886,1
112,2016-10-26,2021-09-02,2021-07-12,2021-03-17,154623,148825,137742,0
113,2016-11-17,2018-05-17,2018-03-14,2017-12-20,61981,55486,48583,1
114,2016-11-04,2023-09-22,2022-11-19,2022-05-20,49905,41900,37351,1
115,2016-12-03,2019-03-22,2018-03-24,2017-11-03,54407,36182,26358,1
116,2016-12-15,2017-02-16,0000-00-00,0000-00-00,6715,0,0,1
117,2016-12-14,2018-02-03,2017-08-12,2017-05-06,14827,9848,4695,1
118,2016-12-21,2023-10-20,2018-08-16,2017-06-16,24956,4967,2548,1
119,0000-00-00,2022-06-18,2017-09-15,2017-04-21,75458,12405,4890,1
120,0000-00-00,2017-07-13,2017-04-21,0000-00-00,9041,5904,0,1
