id,fecha_entrega,fecha_ultima,fecha_penultima,fecha_antepenultima,kms_ultima,kms_penultima,kms_antepenultima,dias_para_5000
1,0000-00-00,2017-05-12,0000-00-00,0000-00-00,164247,0,0,0
2,0000-00-00,2017-01-20,0000-00-00,0000-00-00,165491,0,0,0
3,0000-00-00,2017-05-24,0000-00-00,0000-00-00,117926,0,0,0
4,0000-00-00,2017-08-28,2017-08-18,2017-04-29,106901,106900,103691,0
5,0000-00-00,2017-05-11,0000-00-00,0000-00-00,93760,0,0,1
6,0000-00-00,2017-06-07,2017-05-05,0000-00-00,50218,49625,0,1
7,0000-00-00,2019-10-18,2018-12-14,2017-01-10,197150,165965,113062,0
8,0000-00-00,2017-10-05,0000-00-00,0000-00-00,152352,0,0,1
9,0000-00-00,2019-11-29,2018-03-13,0000-00-00,154614,132117,0,1
10,0000-00-00,2018-01-09,0000-00-00,0000-00-00,87760,0,0,0
11,0000-00-00,2017-10-11,0000-00-00,0000-00-00,51262,0,0,1
12,0000-00-00,2018-05-17,0000-00-00,0000-00-00,129015,0,0,1
13,0000-00-00,2019-11-25,0000-00-00,0000-00-00,216132,0,0,0
14,0000-00-00,2017-02-08,0000-00-00,0000-00-00,52384,0,0,1
15,0000-00-00,2019-03-12,0000-00-00,0000-00-00,100840,0,0,1
16,0000-00-00,2018-08-24,0000-00-00,0000-00-00,59743,0,0,1
17,0000-00-00,2020-08-10,2020-04-16,2020-04-03,189939,167928,164981,0
18,0000-00-00,2017-02-11,0000-00-00,0000-00-00,264870,0,0,0
19,0000-00-00,2018-10-17,2018-10-09,2018-08-21,132636,126241,126240,1
20,0000-00-00,2019-11-01,0000-00-00,0000-00-00,102205,0,0,0
21,0000-00-00,2017-04-07,0000-00-00,0000-00-00,206956,0,0,0
22,0000-00-00,2019-01-10,0000-00-00,0000-00-00,14102,0,0,1
23,0000-00-00,2018-04-27,0000-00-00,0000-00-00,36765,0,0,0
24,0000-00-00,2017-01-17,0000-00-00,0000-00-00,51914,0,0,1
25,0000-00-00,2017-01-27,0000-00-00,0000-00-00,68894,0,0,1
26,0000-00-00,2017-02-03,0000-00-00,0000-00-00,270813,0,0,0
27,0000-00-00,2017-10-13,2017-08-03,2017-05-31,344219,344218,341061,1
28,0000-00-00,2017-04-08,2017-03-16,2017-01-11,65918,62133,52418,0
29,0000-00-00,2020-08-11,2020-06-03,2020-04-04,372610,368312,368012,0
30,0000-00-00,2017-08-16,2017-06-29,2017-06-17,319002,314660,313567,0
31,0000-00-00,2016-12-29,0000-00-00,0000-00-00,273029,0,0,0
32,0000-00-00,2017-01-04,0000-00-00,0000-00-00,386084,0,0,1
33,0000-00-00,2018-12-28,2018-12-17,2018-12-05,475854,474731,474730,0
34,0000-00-00,2018-12-13,2018-08-10,2018-06-23,330482,325936,324215,0
35,0000-00-00,2017-06-28,2017-05-03,2017-03-29,308817,306659,305047,0
36,0000-00-00,2020-08-06,2020-05-02,2020-03-12,224079,219071,215503,0
37,0000-00-00,2020-01-09,2020-01-03,2019-11-08,266408,266110,263183,1
38,0000-00-00,2019-03-09,2019-02-14,2019-01-31,260100,258760,258581,0
39,0000-00-00,2020-03-17,2019-12-13,2019-04-30,333755,331411,326241,1
40,0000-00-00,2020-08-26,2020-06-01,2020-01-15,296579,291911,286236,0
41,0000-00-00,2020-08-11,2020-04-27,2020-02-07,308090,304855,301967,0
42,0000-00-00,2020-08-06,2020-06-12,2020-01-31,167290,167289,165695,0
43,0000-00-00,2018-05-23,2018-04-23,2018-04-12,257701,257700,257699,0
44,0000-00-00,2020-08-25,2020-06-30,2020-05-22,352910,347289,344520,0
